Time,OverallLevel
0,68.07768283
0.092879817,67.95306021
0.185759634,66.44856617
0.278639451,66.87246474
0.371519268,67.43730719
0.464399084,67.07741054
0.557278901,67.27660848
0.650158718,67.6129327
0.743038535,68.71967994
0.835918352,67.94545812
0.928798169,71.04198807
1.021677986,70.8038427
1.114557803,69.75272821
1.20743762,69.61242358
1.300317436,71.46277081
1.393197253,67.60402333
1.48607707,68.8727496
1.578956887,68.12085098
1.671836704,67.77344238
1.764716521,68.62139467
1.857596338,67.82191512
1.950476155,67.85909526
2.043355972,66.43502345
2.136235788,67.10796348
2.229115605,66.51358408
2.321995422,65.05789936
2.414875239,66.1527364
2.507755056,66.00011765
2.600634873,65.22235761
2.69351469,65.46992492
2.786394507,65.12412709
2.879274324,65.15142956
2.97215414,65.08747134
3.065033957,65.18774343
3.157913774,66.06511576
3.250793591,67.02318195
3.343673408,66.0233989
3.436553225,65.14375082
3.529433042,64.78988709
3.622312859,65.36053266
3.715192676,68.28626946
3.808072492,67.6289919
3.900952309,66.49082138
3.993832126,68.4137832
4.086711943,68.11876175
4.17959176,68.90275866
4.272471577,67.34104695
4.365351394,67.14580822
4.458231211,67.60830237
4.551111028,67.31764661
4.643990844,66.56756383
4.736870661,66.44817194
4.829750478,66.27514734
4.922630295,66.37817939
5.015510112,66.9347404
5.108389929,66.49743453
5.201269746,66.37716886
5.294149563,66.28620149
5.38702938,64.77698582
5.479909196,65.35102305
5.572789013,65.15944033
5.66566883,65.94713095
5.758548647,64.43611064
5.851428464,65.86398412
5.944308281,66.2530687
6.037188098,65.77601976
6.130067915,66.02393925
6.222947732,65.29726158
6.315827549,65.47656206
6.408707365,64.07985822
6.501587182,66.02150615
6.594466999,66.35372484
6.687346816,64.70648046
6.780226633,66.9382386
6.87310645,65.04687185
6.965986267,64.6222935
7.058866084,64.16711524
7.151745901,65.13459076
7.244625717,65.04113677
7.337505534,64.34294029
7.430385351,63.22850324
7.523265168,62.09669186
7.616144985,62.58271309
7.709024802,63.21854607
7.801904619,62.42260707
7.894784436,62.79184593
7.987664253,61.46730927
8.080544069,64.91544223
8.173423886,71.69051657
8.266303703,73.52266545
8.35918352,71.72877368
8.452063337,74.09951469
8.544943154,73.53425479
8.637822971,73.15722771
8.730702788,73.40660463
8.823582605,72.73341982
8.916462421,69.25177503
9.009342238,69.9257374
